CustomerID,Average_Transaction_Value
15195.0,3861.0
13135.0,3096.0
17846.0,2033.1
16532.0,1687.2
15749.0,1435.7266666666667
16000.0,1377.0777777777778
16754.0,1001.2
12798.0,872.1299999999999
17553.0,743.8
17949.0,667.7321518987343
16308.0,640.0
16986.0,624.4
18080.0,615.75
18102.0,592.2366974595844
16333.0,591.7066666666667
13270.0,590.0
17291.0,550.8000000000001
18087.0,538.5885714285714
17443.0,534.24
17450.0,534.1372364672368
16041.0,527.7333333333333
15389.0,500.0
17857.0,477.91678571428565
18233.0,440.0
15524.0,440.0
16881.0,432.0
16692.0,425.3333333333333
16737.0,417.59999999999997
15649.0,408.0
16698.0,399.6
12755.0,367.1999999999999
12557.0,363.3624242424242
17948.0,358.56000000000006
14566.0,358.0
17029.0,358.0
18133.0,357.74999999999994
15769.0,352.54231292517005
12823.0,351.9
14603.0,330.0
12931.0,328.0667647058824
17723.0,327.64
17715.0,326.4
14424.0,322.08
15299.0,315.59083333333336
14887.0,310.3333333333333
15442.0,297.0
12917.0,297.0
12980.0,295.5025
13452.0,295.0
16671.0,282.045
14045.0,276.625
15797.0,275.925
17396.0,271.5111111111112
18251.0,269.66999999999996
13027.0,265.84615384615387
14145.0,262.34999999999997
13631.0,251.81416666666667
13848.0,251.0
15510.0,250.0
12939.0,246.42127659574467
12603.0,246.39999999999998
15118.0,244.8
17925.0,244.08
16182.0,236.34464285714287
16684.0,234.49138790035582
17317.0,229.45636363636368
17347.0,228.96
17500.0,227.6
17788.0,223.58
16013.0,220.9685430463576
17353.0,217.5
12435.0,217.49694444444438
17923.0,207.50000000000003
16323.0,207.50000000000003
13099.0,207.35999999999999
15269.0,204.4
13017.0,204.0
15838.0,197.341775147929
16505.0,194.4
17616.0,190.4
16029.0,186.10441605839407
17381.0,184.29481818181807
17133.0,181.1940740740741
13298.0,180.0
15043.0,179.0
16990.0,179.0
13228.0,179.0
14705.0,179.0
13225.0,178.91294117647064
14935.0,178.47099999999998
13147.0,178.20000000000002
13953.0,175.78400000000002
17331.0,175.2
16144.0,175.2
18017.0,174.33333333333334
12830.0,173.03589743589748
13068.0,172.0
12875.0,171.61500000000004
16210.0,171.4333333333333
14101.0,170.76542857142857
17391.0,169.6
15316.0,165.0
14548.0,163.2
12415.0,159.03014138817463
15267.0,156.12363636363636
17941.0,152.28
13689.0,151.66666666666666
17404.0,150.75034825870642
14609.0,150.39000000000001
18246.0,149.02499999999998
15171.0,147.78571428571428
15653.0,146.23999999999998
16429.0,142.275
12590.0,140.87685714285718
17389.0,139.73250000000007
12643.0,139.36
17929.0,139.08333333333334
14866.0,137.8393203883496
14616.0,135.36
16377.0,135.24
16276.0,135.10000000000002
16319.0,134.8
15562.0,134.55
14646.0,134.04749160671457
15061.0,132.26521951219516
13629.0,132.07389830508475
12901.0,130.34479999999996
15098.0,129.9
17414.0,129.66666666666666
17896.0,128.16
12664.0,127.99684210526314
17268.0,127.27333333333333
14828.0,125.86823529411765
16976.0,125.75999999999999
13029.0,124.75
17306.0,124.64826086956529
17640.0,124.33200000000002
16281.0,121.29764705882353
14195.0,120.33749999999998
15971.0,119.9957142857143
14212.0,118.94222222222223
14477.0,118.8918181818182
15341.0,118.85411764705883
13777.0,117.57237442922367
15222.0,117.0
18064.0,116.28571428571429
14434.0,114.39999999999999
16545.0,113.10000000000001
14258.0,112.94714285714282
12770.0,112.62083333333332
12882.0,112.54153846153842
15619.0,112.13333333333334
15368.0,111.73500000000001
12891.0,110.33333333333333
16656.0,107.103
13694.0,107.09931623931628
16716.0,106.60000000000004
15070.0,106.2
15100.0,105.85000000000001
12678.0,105.31892215568864
13261.0,104.9
13525.0,104.79666666666667
15473.0,104.65714285714286
13941.0,104.51936170212765
17262.0,104.44666666666667
18174.0,104.0
16107.0,103.36
18068.0,101.69999999999999
15587.0,101.52000000000002
12989.0,100.80161764705878
18092.0,100.73066666666669
17937.0,100.02837209302326
18194.0,99.55555555555554
13703.0,99.5
14607.0,99.48333333333335
13763.0,99.38
15199.0,97.59230769230768
16872.0,97.14571428571428
12409.0,96.99061403508776
13868.0,96.74363636363637
12791.0,96.30000000000001
17386.0,95.94357142857143
12818.0,94.86749999999999
16989.0,94.4375
13881.0,94.38622222222219
14062.0,94.27792792792793
17152.0,93.96875
12873.0,93.5
14199.0,92.69999999999999
13324.0,91.85454545454537
17457.0,91.45789473684209
12753.0,91.4087391304348
16927.0,90.50833333333334
15945.0,90.5
17044.0,89.743
14608.0,89.2575
14423.0,88.39999999999999
14463.0,88.27
13145.0,87.82428571428571
17354.0,87.06625
17940.0,86.2426086956522
17513.0,85.53333333333335
14088.0,85.44998305084745
15251.0,85.34801652892561
13841.0,85.0
16422.0,84.72604010025073
14680.0,84.16356249999998
12863.0,84.03333333333335
17388.0,83.97066666666666
14124.0,83.91600000000001
14439.0,83.16375
13798.0,82.80505694760811
12752.0,82.39207547169809
17856.0,81.98764705882354
17511.0,81.90091078066911
17313.0,81.71892857142856
13199.0,81.69966666666669
14987.0,81.6
15694.0,81.31139240506327
15032.0,81.16545454545452
17752.0,80.64
13929.0,80.285
15286.0,80.18333333333334
12950.0,80.1304347826087
13340.0,80.1229850746268
13685.0,79.98564102564106
14156.0,79.84798591549286
13747.0,79.6
13784.0,79.4448387096774
15125.0,79.40750000000001
15939.0,79.25012987012987
15753.0,79.2
16078.0,79.2
15497.0,78.73125
14147.0,78.06666666666666
14752.0,77.92799999999998
13493.0,77.32875
14967.0,77.3
13328.0,76.96941176470588
14090.0,76.32000000000001
18113.0,76.32000000000001
16148.0,76.32000000000001
15668.0,76.32000000000001
